"","q","n_total","sub_size","subsample_id","repetition","method","SHD","Precision","Recall","F1_Score"
"1",50,300,100,1,1,"Frequentist",12,0.9643,0.7105,0.8182
"2",50,300,100,1,1,"Bayesian",15,1,0.6053,0.7541
"3",50,300,100,2,1,"Frequentist",16,0.8929,0.6579,0.7576
"4",50,300,100,2,1,"Bayesian",13,1,0.6579,0.7937
"5",50,300,100,3,1,"Frequentist",19,0.7714,0.7105,0.7397
"6",50,300,100,3,1,"Bayesian",15,0.9259,0.6579,0.7692
"7",50,300,100,1,2,"Frequentist",16,0.9722,0.7,0.814
"8",50,300,100,1,2,"Bayesian",20,1,0.6,0.75
"9",50,300,100,2,2,"Frequentist",18,1,0.64,0.7805
"10",50,300,100,2,2,"Bayesian",19,1,0.62,0.7654
"11",50,300,100,3,2,"Frequentist",21,0.9143,0.64,0.7529
"12",50,300,100,3,2,"Bayesian",21,0.9677,0.6,0.7407
"13",50,300,100,1,3,"Frequentist",13,0.9722,0.7447,0.8434
"14",50,300,100,1,3,"Bayesian",16,1,0.6596,0.7949
"15",50,300,100,2,3,"Frequentist",16,0.9429,0.7021,0.8049
"16",50,300,100,2,3,"Bayesian",17,0.9688,0.6596,0.7848
"17",50,300,100,3,3,"Frequentist",11,0.9737,0.7872,0.8706
"18",50,300,100,3,3,"Bayesian",13,0.9722,0.7447,0.8434
"19",50,300,100,1,4,"Frequentist",30,0.8378,0.5636,0.6739
"20",50,300,100,1,4,"Bayesian",30,0.963,0.4727,0.6341
"21",50,300,100,2,4,"Frequentist",26,0.9143,0.5818,0.7111
"22",50,300,100,2,4,"Bayesian",29,0.9643,0.4909,0.6506
"23",50,300,100,3,4,"Frequentist",27,0.9667,0.5273,0.6824
"24",50,300,100,3,4,"Bayesian",33,1,0.4,0.5714
"25",50,300,100,1,5,"Frequentist",18,0.9286,0.619,0.7429
"26",50,300,100,1,5,"Bayesian",21,0.9565,0.5238,0.6769
"27",50,300,100,2,5,"Frequentist",23,0.8276,0.5714,0.6761
"28",50,300,100,2,5,"Bayesian",25,0.9048,0.4524,0.6032
"29",50,300,100,3,5,"Frequentist",20,0.9231,0.5714,0.7059
"30",50,300,100,3,5,"Bayesian",22,0.9545,0.5,0.6562
"31",50,300,100,1,6,"Frequentist",18,0.9394,0.6596,0.775
"32",50,300,100,1,6,"Bayesian",21,0.9643,0.5745,0.72
"33",50,300,100,2,6,"Frequentist",18,0.9394,0.6596,0.775
"34",50,300,100,2,6,"Bayesian",17,1,0.6383,0.7792
"35",50,300,100,3,6,"Frequentist",18,0.9677,0.6383,0.7692
"36",50,300,100,3,6,"Bayesian",24,0.96,0.5106,0.6667
"37",50,300,100,1,7,"Frequentist",24,0.9487,0.6271,0.7551
